# Region type : patch outlet
# Faces        : 34923
# Area         : 6.0186191e-04
# Scale factor : 1.0000000e+00
# Time         	areaAverage(p)
0.0454997      	1.2550143e+00
0.0455372      	1.2557829e+00
0.0455747      	1.2589234e+00
0.045612       	1.2596905e+00
0.0456494      	1.2628284e+00
0.0456867      	1.2635940e+00
0.0457239      	1.2667294e+00
0.0457611      	1.2674936e+00
0.0457982      	1.2706264e+00
0.0458352      	1.2713891e+00
0.0458723      	1.2745194e+00
0.0459092      	1.2752807e+00
0.0459462      	1.2784085e+00
0.045983       	1.2791684e+00
0.0460198      	1.2822937e+00
0.0460566      	1.2830498e+00
0.0460933      	1.2861706e+00
0.04613        	1.2869253e+00
0.0461666      	1.2900436e+00
0.0462032      	1.2907969e+00
0.0462397      	1.2939127e+00
0.0462762      	1.2946647e+00
0.0463126      	1.2977781e+00
0.0463489      	1.2985287e+00
0.0463853      	1.3016396e+00
0.0464215      	1.3023889e+00
0.0464578      	1.3054974e+00
0.046494       	1.3062453e+00
0.0465301      	1.3093513e+00
0.0465662      	1.3100979e+00
0.0466022      	1.3132016e+00
0.0466382      	1.3139468e+00
0.0466741      	1.3170481e+00
0.04671        	1.3177920e+00
0.0467459      	1.3208909e+00
0.0467817      	1.3216335e+00
0.0468174      	1.3247300e+00
0.0468531      	1.3254713e+00
0.0468888      	1.3285655e+00
0.0469244      	1.3293055e+00
0.04696        	1.3323973e+00
0.0469955      	1.3331360e+00
0.047031       	1.3362255e+00
0.0470664      	1.3369666e+00
0.0471018      	1.3400543e+00
0.0471371      	1.3407942e+00
0.0471724      	1.3438796e+00
0.0472076      	1.3446182e+00
0.0472428      	1.3477013e+00
0.047278       	1.3484387e+00
0.0473131      	1.3515194e+00
0.0473482      	1.3522556e+00
0.0473832      	1.3553340e+00
0.0474182      	1.3560689e+00
0.0474531      	1.3591451e+00
0.047488       	1.3598787e+00
0.0475229      	1.3629526e+00
0.0475577      	1.3636851e+00
0.0475924      	1.3667567e+00
0.0476271      	1.3674879e+00
0.0476618      	1.3705573e+00
0.0476964      	1.3712874e+00
0.047731       	1.3743545e+00
0.0477656      	1.3750833e+00
0.0478001      	1.3781482e+00
0.0478345      	1.3788758e+00
0.0478689      	1.3819385e+00
0.0479033      	1.3826650e+00
0.0479377      	1.3857254e+00
0.0479719      	1.3864507e+00
0.0480062      	1.3895089e+00
0.0480404      	1.3902331e+00
0.0480746      	1.3932891e+00
0.0481087      	1.3940121e+00
0.0481428      	1.3970659e+00
0.0481768      	1.3977877e+00
0.0482108      	1.4008394e+00
0.0482448      	1.4015601e+00
0.0482787      	1.4046095e+00
0.0483125      	1.4053291e+00
0.0483464      	1.4083764e+00
0.0483802      	1.4090948e+00
0.0484139      	1.4121400e+00
0.0484476      	1.4128573e+00
0.0484813      	1.4159003e+00
0.0485149      	1.4166165e+00
0.0485485      	1.4196574e+00
0.0485821      	1.4203725e+00
0.0486156      	1.4234112e+00
0.0486491      	1.4241252e+00
0.0486825      	1.4271618e+00
0.0487159      	1.4278747e+00
0.0487493      	1.4309092e+00
0.0487826      	1.4316211e+00
0.0488159      	1.4346534e+00
0.0488491      	1.4353642e+00
0.0488823      	1.4383945e+00
0.0489155      	1.4391042e+00
0.0489486      	1.4421323e+00
0.0489817      	1.4428410e+00
0.0490147      	1.4458671e+00
0.0490477      	1.4465748e+00
0.0490807      	1.4495987e+00
0.0491136      	1.4503053e+00
0.0491465      	1.4533272e+00
0.0491794      	1.4540328e+00
0.0492122      	1.4570526e+00
0.0492449      	1.4577572e+00
0.0492777      	1.4607749e+00
0.0493104      	1.4614785e+00
0.0493431      	1.4644942e+00
0.0493757      	1.4651968e+00
0.0494083      	1.4682104e+00
0.0494408      	1.4689120e+00
0.0494734      	1.4719235e+00
0.0495058      	1.4726241e+00
0.0495383      	1.4756336e+00
0.0495707      	1.4763333e+00
0.0496031      	1.4793408e+00
0.0496354      	1.4800394e+00
0.0496677      	1.4830449e+00
0.0497         	1.4837426e+00
0.0497322      	1.4867460e+00
0.0497644      	1.4874428e+00
0.0497965      	1.4904442e+00
0.0498287      	1.4911400e+00
0.0498607      	1.4941394e+00
0.0498928      	1.4948342e+00
0.0499248      	1.4978316e+00
0.0499568      	1.4985256e+00
0.0499887      	1.5015210e+00
0.0500206      	1.5022140e+00
0.0500525      	1.5042475e+00
0.0500844      	1.5044157e+00
0.0501162      	1.5064482e+00
0.0501481      	1.5066162e+00
0.0501799      	1.5086477e+00
0.0502117      	1.5088156e+00
0.0502435      	1.5108462e+00
0.0502753      	1.5110140e+00
0.0503071      	1.5130435e+00
0.0503388      	1.5132113e+00
0.0503706      	1.5152398e+00
0.0504023      	1.5154075e+00
0.050434       	1.5174351e+00
0.0504657      	1.5176027e+00
0.0504974      	1.5196294e+00
0.0505291      	1.5197969e+00
0.0505607      	1.5218226e+00
0.0505924      	1.5219900e+00
0.050624       	1.5240149e+00
0.0506556      	1.5241822e+00
0.0506872      	1.5262061e+00
0.0507188      	1.5263733e+00
0.0507503      	1.5283962e+00
0.0507819      	1.5285634e+00
0.0508134      	1.5305854e+00
0.050845       	1.5307525e+00
0.0508765      	1.5327735e+00
0.050908       	1.5329405e+00
0.0509395      	1.5349606e+00
0.0509709      	1.5351275e+00
0.0510024      	1.5371467e+00
0.0510338      	1.5373138e+00
0.0510652      	1.5393358e+00
0.0510967      	1.5395028e+00
0.0511281      	1.5415238e+00
0.0511594      	1.5416908e+00
0.0511908      	1.5437108e+00
0.0512222      	1.5438777e+00
0.0512535      	1.5458968e+00
0.0512848      	1.5460635e+00
0.0513162      	1.5480817e+00
0.0513475      	1.5482484e+00
0.0513788      	1.5502656e+00
0.05141        	1.5504321e+00
0.0514413      	1.5524484e+00
0.0514725      	1.5526149e+00
0.0515038      	1.5546302e+00
0.051535       	1.5547965e+00
0.0515662      	1.5568109e+00
0.0515974      	1.5569771e+00
0.0516286      	1.5589905e+00
0.0516597      	1.5591567e+00
0.0516909      	1.5611691e+00
0.051722       	1.5613352e+00
0.0517531      	1.5633467e+00
0.0517842      	1.5635127e+00
0.0518153      	1.5655232e+00
0.0518464      	1.5656891e+00
0.0518775      	1.5676986e+00
0.0519085      	1.5678644e+00
0.0519396      	1.5698730e+00
0.0519706      	1.5700387e+00
0.0520016      	1.5720463e+00
0.0520326      	1.5722119e+00
0.0520636      	1.5742186e+00
0.0520946      	1.5743841e+00
0.0521255      	1.5763898e+00
0.0521565      	1.5765552e+00
0.0521874      	1.5785600e+00
0.0522183      	1.5787252e+00
0.0522492      	1.5807291e+00
0.0522801      	1.5808942e+00
0.052311       	1.5828971e+00
0.0523419      	1.5830622e+00
0.0523727      	1.5850641e+00
0.0524036      	1.5852291e+00
0.0524344      	1.5872300e+00
0.0524652      	1.5873949e+00
0.052496       	1.5893949e+00
0.0525268      	1.5895597e+00
0.0525576      	1.5915587e+00
0.0525883      	1.5917234e+00
0.0526191      	1.5937215e+00
0.0526498      	1.5938861e+00
0.0526805      	1.5958832e+00
0.0527112      	1.5960477e+00
0.0527419      	1.5980439e+00
0.0527726      	1.5982083e+00
0.0528033      	1.6002036e+00
0.0528339      	1.6003678e+00
0.0528646      	1.6023621e+00
0.0528952      	1.6025263e+00
0.0529258      	1.6045197e+00
0.0529564      	1.6046837e+00
0.052987       	1.6066762e+00
0.0530176      	1.6068401e+00
0.0530482      	1.6088316e+00
0.0530787      	1.6089955e+00
0.0531092      	1.6109861e+00
0.0531398      	1.6111498e+00
0.0531703      	1.6131394e+00
0.0532008      	1.6133031e+00
0.0532313      	1.6152918e+00
0.0532617      	1.6154554e+00
0.0532922      	1.6174431e+00
0.0533227      	1.6176066e+00
0.0533531      	1.6195934e+00
0.0533835      	1.6197568e+00
0.0534139      	1.6217427e+00
0.0534443      	1.6219060e+00
0.0534747      	1.6238909e+00
0.0535051      	1.6240542e+00
0.0535354      	1.6260382e+00
0.0535658      	1.6262013e+00
0.0535961      	1.6281844e+00
0.0536264      	1.6283474e+00
0.0536567      	1.6303296e+00
0.053687       	1.6304925e+00
0.0537173      	1.6324738e+00
0.0537476      	1.6326366e+00
0.0537779      	1.6346169e+00
0.0538081      	1.6347797e+00
0.0538383      	1.6367591e+00
0.0538686      	1.6369218e+00
0.0538988      	1.6389003e+00
0.053929       	1.6390629e+00
0.0539591      	1.6410405e+00
0.0539893      	1.6412030e+00
0.0540195      	1.6431797e+00
0.0540496      	1.6433396e+00
0.0540797      	1.6453140e+00
0.0541099      	1.6454739e+00
0.05414        	1.6474473e+00
0.0541701      	1.6476071e+00
0.0542002      	1.6495796e+00
0.0542302      	1.6497394e+00
0.0542603      	1.6517110e+00
0.0542903      	1.6518707e+00
0.0543204      	1.6538414e+00
0.0543504      	1.6540011e+00
0.0543804      	1.6559709e+00
0.0544104      	1.6561304e+00
0.0544404      	1.6580993e+00
0.0544704      	1.6582589e+00
0.0545003      	1.6602268e+00
0.0545303      	1.6603863e+00
0.0545602      	1.6623534e+00
0.0545901      	1.6625128e+00
0.0546201      	1.6644790e+00
0.05465        	1.6646384e+00
0.0546798      	1.6666037e+00
0.0547097      	1.6667630e+00
0.0547396      	1.6687274e+00
0.0547694      	1.6688866e+00
0.0547993      	1.6708501e+00
0.0548291      	1.6710093e+00
0.0548589      	1.6729720e+00
0.0548887      	1.6731311e+00
0.0549185      	1.6750929e+00
0.0549483      	1.6752520e+00
0.0549781      	1.6772128e+00
0.0550078      	1.6773719e+00
0.0550376      	1.6793329e+00
0.0550673      	1.6794947e+00
0.055097       	1.6814549e+00
0.0551267      	1.6816166e+00
0.0551564      	1.6835759e+00
0.0551861      	1.6837376e+00
0.0552158      	1.6856960e+00
0.0552455      	1.6858577e+00
0.0552751      	1.6878152e+00
0.0553048      	1.6879769e+00
0.0553344      	1.6899335e+00
0.055364       	1.6900951e+00
0.0553936      	1.6920508e+00
0.0554232      	1.6922124e+00
0.0554528      	1.6941673e+00
0.0554823      	1.6943289e+00
0.0555119      	1.6962829e+00
0.0555414      	1.6964444e+00
0.055571       	1.6983975e+00
0.0556005      	1.6985590e+00
0.05563        	1.7005113e+00
0.0556595      	1.7006728e+00
0.055689       	1.7026242e+00
0.0557185      	1.7027856e+00
0.0557479      	1.7047362e+00
0.0557774      	1.7048976e+00
0.0558068      	1.7068473e+00
0.0558363      	1.7070087e+00
0.0558657      	1.7089575e+00
0.0558951      	1.7091189e+00
0.0559245      	1.7110669e+00
0.0559539      	1.7112283e+00
0.0559832      	1.7131754e+00
0.0560126      	1.7133367e+00
0.0560419      	1.7152830e+00
0.0560713      	1.7154443e+00
0.0561006      	1.7173898e+00
0.0561299      	1.7175511e+00
0.0561592      	1.7194957e+00
0.0561885      	1.7196570e+00
0.0562178      	1.7216007e+00
0.0562471      	1.7217620e+00
0.0562763      	1.7237049e+00
0.0563056      	1.7238662e+00
0.0563348      	1.7258083e+00
0.056364       	1.7259695e+00
0.0563932      	1.7279108e+00
0.0564224      	1.7280720e+00
0.0564516      	1.7300125e+00
0.0564808      	1.7301737e+00
0.05651        	1.7321133e+00
0.0565391      	1.7322745e+00
0.0565683      	1.7342133e+00
0.0565974      	1.7343745e+00
0.0566265      	1.7363124e+00
0.0566556      	1.7364737e+00
0.0566847      	1.7384108e+00
0.0567138      	1.7385720e+00
0.0567429      	1.7405083e+00
0.056772       	1.7406695e+00
0.056801       	1.7426050e+00
0.0568301      	1.7427662e+00
0.0568591      	1.7447008e+00
0.0568881      	1.7448621e+00
0.0569171      	1.7467959e+00
0.0569461      	1.7469571e+00
0.0569751      	1.7488901e+00
0.0570041      	1.7490514e+00
0.0570331      	1.7509836e+00
0.057062       	1.7511449e+00
0.057091       	1.7530762e+00
0.0571199      	1.7532375e+00
0.0571488      	1.7551681e+00
0.0571777      	1.7553294e+00
0.0572066      	1.7572591e+00
0.0572355      	1.7574204e+00
0.0572644      	1.7593494e+00
0.0572933      	1.7595107e+00
