# Region type : patch outlet
# Faces        : 34923
# Area         : 6.0186191e-04
# Scale factor : 1.0000000e+00
# Time         	areaAverage(p)
0.0519395      	1.3914238e+00
0.0519705      	1.3912916e+00
0.0520015      	1.3930592e+00
0.0520325      	1.3929270e+00
0.0520635      	1.3946936e+00
0.0520945      	1.3945613e+00
0.0521255      	1.3963270e+00
0.0521564      	1.3961945e+00
0.0521873      	1.3979593e+00
0.0522183      	1.3978268e+00
0.0522492      	1.3995907e+00
0.0522801      	1.3994580e+00
0.0523109      	1.4012210e+00
0.0523418      	1.4010882e+00
0.0523727      	1.4028503e+00
0.0524035      	1.4027174e+00
0.0524343      	1.4044785e+00
0.0524651      	1.4043456e+00
0.0524959      	1.4061057e+00
0.0525267      	1.4059727e+00
0.0525575      	1.4077320e+00
0.0525883      	1.4075989e+00
0.052619       	1.4093572e+00
0.0526497      	1.4092240e+00
0.0526805      	1.4109814e+00
0.0527112      	1.4108481e+00
0.0527419      	1.4126045e+00
0.0527725      	1.4124711e+00
0.0528032      	1.4142267e+00
0.0528339      	1.4140932e+00
0.0528645      	1.4158478e+00
0.0528951      	1.4157143e+00
0.0529257      	1.4174680e+00
0.0529563      	1.4173343e+00
0.0529869      	1.4190871e+00
0.0530175      	1.4189534e+00
0.0530481      	1.4207052e+00
0.0530786      	1.4205714e+00
0.0531092      	1.4223223e+00
0.0531397      	1.4221884e+00
0.0531702      	1.4239384e+00
0.0532007      	1.4238044e+00
0.0532312      	1.4255535e+00
0.0532617      	1.4254195e+00
0.0532921      	1.4271676e+00
0.0533226      	1.4270335e+00
0.053353       	1.4287808e+00
0.0533834      	1.4286465e+00
0.0534138      	1.4303929e+00
0.0534442      	1.4302586e+00
0.0534746      	1.4320040e+00
0.053505       	1.4318697e+00
0.0535354      	1.4336142e+00
0.0535657      	1.4334797e+00
0.053596       	1.4352234e+00
0.0536264      	1.4350888e+00
0.0536567      	1.4368315e+00
0.053687       	1.4366969e+00
0.0537172      	1.4384388e+00
0.0537475      	1.4383041e+00
0.0537778      	1.4400450e+00
0.053808       	1.4399102e+00
0.0538383      	1.4416503e+00
0.0538685      	1.4415154e+00
0.0538987      	1.4432545e+00
0.0539289      	1.4431197e+00
0.0539591      	1.4448579e+00
0.0539892      	1.4447229e+00
0.0540194      	1.4464602e+00
0.0540495      	1.4463227e+00
0.0540797      	1.4480578e+00
0.0541098      	1.4479202e+00
0.0541399      	1.4496543e+00
