(
(0.771000	1537.82758030)
(0.772000	1542.17835900)
(0.773000	1546.75468130)
(0.774000	1551.55308140)
(0.775000	1556.56876050)
(0.776000	1561.79585340)
(0.777000	1567.22729520)
(0.778000	1572.85468800)
(0.779000	1578.66870080)
(0.780000	1584.65866960)
(0.781000	1590.81326390)
(0.782000	1597.11995350)
(0.783000	1603.56567500)
(0.784000	1610.13643190)
(0.785000	1616.81729460)
(0.786000	1623.59320020)
(0.787000	1630.44828600)
(0.788000	1637.36628940)
(0.789000	1644.33068120)
(0.790000	1651.32479890)
(0.791000	1658.33158010)
(0.792000	1665.33422900)
(0.793000	1672.31581650)
(0.794000	1679.25968010)
(0.795000	1686.14942390)
(0.796000	1692.96891860)
(0.797000	1699.70243480)
(0.798000	1706.33504290)
(0.799000	1712.85234650)
(0.800000	1719.24061570)
(0.801000	1725.48705370)
(0.802000	1731.57966350)
(0.803000	1737.50751450)
(0.804000	1743.26074250)
(0.805000	1748.83081630)
(0.806000	1754.21000450)
(0.807000	1759.39204200)
(0.808000	1764.37226330)
(0.809000	1769.14680270)
(0.810000	1773.71366070)
(0.811000	1778.07217080)
(0.812000	1782.22299950)
(0.813000	1786.16827960)
(0.814000	1789.91174350)
(0.815000	1793.45845660)
(0.816000	1796.81495060)
(0.817000	1799.98922350)
(0.818000	1802.99047300)
(0.819000	1805.82962970)
(0.820000	1808.51815740)
(0.821000	1811.06951940)
(0.822000	1813.49757890)
(0.823000	1815.81766540)
(0.824000	1818.04577490)
(0.825000	1820.19896980)
(0.826000	1822.29471240)
(0.827000	1824.35113150)
(0.828000	1826.38688910)
(0.829000	1828.42091380)
(0.830000	1830.47226750)
(0.831000	1832.55987880)
(0.832000	1834.70294290)
(0.833000	1836.92025510)
(0.834000	1839.22981090)
(0.835000	1841.64973910)
(0.836000	1844.19710210)
(0.837000	1846.88816250)
(0.838000	1849.73838310)
(0.839000	1852.76202700)
(0.840000	1855.97229090)
(0.841000	1859.38103850)
(0.842000	1862.99906710)
(0.843000	1866.83530780)
(0.844000	1870.89735870)
(0.845000	1875.19135160)
(0.846000	1879.72155210)
(0.847000	1884.49102610)
(0.848000	1889.50057340)
(0.849000	1894.74992740)
(0.850000	1900.23668870)
(0.851000	1905.95712490)
(0.852000	1911.90577070)
(0.853000	1918.07569450)
(0.854000	1924.45836510)
(0.855000	1931.04405160)
(0.856000	1937.82142350)
(0.857000	1944.77821720)
(0.858000	1951.90083610)
(0.859000	1959.17475050)
